anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
BEIRAMAR IMÓVEIS,62m²,,,Norte (Águas Claras),2,Brasília,1030009138,,2022-07-08,,Quadra 101,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/brasilia-apartamento-padrao-aguas-claras-norte-1030009138,R$ 0,R$ 500.000,R$ 0,
MC IMÓVEIS,34m²,,,Ceilândia Centro (Ceilândia),2,Brasília,1055589977,,2022-07-08,,CNM 2 Bloco B,,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-apartamento-na-cidade-ico-ceara-1055589977,R$ 0,R$ 130.000,R$ 0,
Alícia corretora,81m²,,,Ceilândia Norte (Ceilândia),2,Brasília,1055590342,,2022-07-08,,QNO 12 Área Especial C,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-possui-81-metros-quadrados-com-3-quartos-em-ceilandia-norte-brasi-1055590342,R$ 0,R$ 435.000,R$ 0,
Roberto José imóveis,40m²,,,Arapoanga (Planaltina),1,Brasília,1055590704,,2022-07-08,,Quadra 1 Conjunto E,,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-oportunidade-vendo-otimo-apartamento-no-arapoanga-1055590704,R$ 0,R$ 70.000,R$ 0,
Bruno Novais Corretor de Imóveis,68m²,,,Norte (Águas Claras),2,Brasília,1055590712,,2022-07-08,,Rua das Carnaúbas,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-68-metros-quadrados-com-2-quartos-em-norte-brasilia-df-1055590712,R$ 0,R$ 572.066,R$ 0,
Bruno Novais Corretor de Imóveis,145m²,,,Norte (Águas Claras),5 ou mais,Brasília,1055590752,,2022-07-08,,Rua das Carnaúbas,3,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-possui-145-metros-quadrados-com-3-quartos-em-norte-brasilia-df-1055590752,R$ 0,R$ 1.160.000,R$ 0,
Leo ,132m²,,,Setor Habitacional Vicente Pires,3,Brasília,1055591228,,2022-07-08,,Rua 3 Chácara 82,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/cobertura-duplex-em-vicente-pires-1055591228,R$ 360,R$ 850.000,,
