anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Conect Negócios Imobiliários,127,127,,Sul,3,Brasília,2565199675,,,,Quadra 203,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-sul-bairros-brasilia-com-garagem-127m2-venda-RS835000-id-2565199675/,0,835000,0,
New Home Imobiliária,78,78,,Areal,2,Brasília,2569214170,28276-J-DF,,,QS 7 Rua 800,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-areal-bairros-brasilia-com-garagem-78m2-venda-RS280000-id-2569214170/,447,280000,1000,
JOÃO LUIZ ROMANHOLO DE ALMEIDA,58,142,,Asa Norte,2,Brasília,2565453977,19508-F-DF,,,SHTN Trecho 1,[2],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-asa-norte-bairros-brasilia-com-garagem-58m2-venda-RS880000-id-2565453977/,1600,880000,800,
Alda Maria Avelino Leal,52,,,Setor Central,1,Brasília,2562190073,,,,Área Especial Lado Leste,[1],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-central-bairros-brasilia-com-garagem-52m2-venda-RS254000-id-2562190073/,0,254000,0,
Antônio Lisboa Accioly,68,,,Sul,2,Brasília,2568117431,10593-F-DF,,,Rua das Pitangueiras,[1],,1,[1],https://www.vivareal.com.br/imovel/apartamento-1-quartos-sul-bairros-brasilia-com-garagem-68m2-venda-RS490000-id-2568117431/,555,490000,134,
HALISSON CARLOS,68,,,Setor Habitacional Vicente Pires,2,Brasília,2555620835,,,,Rua 4A,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-habitacional-vicente-pires-bairros-brasilia-com-garagem-68m2-venda-RS310000-id-2555620835/,0,310000,0,
Yani Netimóveis - NOVA,123,1062,,Asa Norte,4,Brasília,2568574980,19568-J-DF,,,,[1],,3,[2],https://www.vivareal.com.br/imovel/apartamento-3-quartos-asa-norte-bairros-brasilia-com-garagem-123m2-venda-RS1300000-id-2568574980/,1100,1300000,390,
LS Imóveis,49,54,,Setor Industrial,1,Brasília,2569349124,26682-F-DF,,,QI 24,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-industrial-bairros-brasilia-com-garagem-49m2-venda-RS332000-id-2569349124/,0,332000,0,
Renato calixto saliba,47,47,,Asa Norte,1,Brasília,2557895885,,,,CLN 212 Bloco A,[0],,1,[0],https://www.vivareal.com.br/imovel/apartamento-1-quartos-asa-norte-bairros-brasilia-47m2-venda-RS240000-id-2557895885/,0,240000,800,
Saad Imóveis,37,37,,Setor Sudoeste,1,Brasília,2550380643,21868-J-DF,,,QRSW 2,[0],,1,[0],https://www.vivareal.com.br/imovel/apartamento-1-quartos-setor-sudoeste-bairros-brasilia-37m2-venda-RS170000-id-2550380643/,318,170000,668,
Rossana Montenegro Imobiliária Ltda,70,70,,Asa Norte,2,Brasília,2568581532,26289-J-DF,,,,[0],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-asa-norte-bairros-brasilia-70m2-venda-RS750000-id-2568581532/,400,750000,1000,
Manoel Tavares de Souza,50,,,Riacho Fundo I,1,Brasília,2550788332,07822-F-DF,,,Avenida Sucupira,[0],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-riacho-fundo-i-bairros-brasilia-50m2-venda-RS130000-id-2550788332/,200,130000,1,
Pollius Soluções Imobiliárias,35,35,,Samambaia Sul,1,Brasília,2553884493,26119-J-DF,,,Quadra 301 Conjunto 1,[1],,1,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-samambaia-sul-bairros-brasilia-com-garagem-35m2-venda-RS179000-id-2553884493/,240,179000,534,
