anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
COEMI IMÓVEIS.,117,117,2022-07-02,Asa Sul,3,Brasília,2964960563,3545,,,Quadra SQS 310 2,1,22,3,,/propriedades/sqs-310-apartamento-a-venda-3-quartos-nascente-2964960563.html,0,1.320.000,
Lucas - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,107,107,2022-06-30,Asa Sul,2,Brasília,2964892384,,,,"SQS 202, Asa Sul Quadra, Asa Sul, SHCS, Brasília DF",1,30,2,,/propriedades/quadra-sqs-202-asa-sul-2-quartos-1-vaga-vista-livre-2964892384.html,970,930.000,
ATALAIA Empreendimentos Imobiliários,28,28,2022-07-02,Asa Sul,1,Brasília,2966751594,17841,,,Quadra SEPS 712/912 1,,3,1,,/propriedades/grand-ville-a-venda-kitnet-mobiliada-armarios-2966751594.html,320,295.000,
THAIS IMOBILIÁRIA VENDAS,264,300,2022-07-01,Asa Sul,4,Brasília,2959909636,,,,Quadra SQS 106 Bloco J 0,,,4,1,/propriedades/sqs-106-nascente-e-bem-localizado-2959909636.html,600,2.250.000,
MALBECK (Felipe),80,80,2022-06-22,Asa Sul,2,Brasília,2964043199,,,,SQS 416,,15,3,1,/propriedades/sqs-416-3-quartos-80-m-sup2--vista-livre-2964043199.html,620,740.000,
DALEPRANE INTELIGENCIA IMOBILIÁRIA,25,25,2022-03-12,Asa Sul,1,Brasília,2963298625,Creci 25937/DF,,,SEPS 713/913  BLOCO A ,1,10,1,,/propriedades/golden-place-2963298625.html,295,349.000,
COEMI IMÓVEIS.,166,166,2022-07-02,Asa Sul,3,Brasília,2965719349,3545,,,Quadra SQS 203 1,1,22,3,1,/propriedades/sqs-203-apartamento-reformado-a-venda-vazado-3-2965719349.html,1350,1.875.000,
FERNANDO VASCONCELOS,63,63,2022-05-31,Asa Sul,1,Brasília,110403002,9615,,,SQS 403 BLOCO D,,44,3,,/propriedades/asa-sul-sqs-403-03-qtos-vazado-e-reformado-110403002.html,,660.000,
LMD imóveis ,85,85,2022-06-01,Asa Sul,1,Brasília,2965813680,,,,SQS 416,,9,3,,/propriedades/sqs-416-3-quartos-mais-dce-85-m-sup2--2-andar-2965813680.html,550,770.000,
Essencial Imob,410,410,2022-06-15,Asa Sul,6,Brasília,2966232219,11277,,,SQS 112 Bloco H,5,,4,4,/propriedades/vista-livre-cobertura-de-alto-padrao-2966232219.html,2372,6.300.000,
