anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
IC Corretora de Imóveis,,,07/07/2022,ASA NORTE,,BRASÍLIA,177003,24347,,,SQN 211 Bloco E,,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-siron-franco-177003,,Sob Consulta,Sob Consulta
Granville Negócios Imobiliários,"320,00 m²"," 496,00 m²",07/07/2022,ASA NORTE,,BRASÍLIA,529644,23201,,,SQN 314 Bloco H,4,,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-314-bloco-h-529644,3.100,3.100.000,9.687
PaulOOctavio,,,07/07/2022,ASA NORTE,,BRASÍLIA,390740,1700,,,SQN 208 Bloco J,,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-marcio-cotrim-390740,,Sob Consulta,Sob Consulta
