anunciante,area_privativa,area_total,atualizacao,bairro,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
PaulOOctavio,160 m²,,01/07/2022,ASA NORTE,BRASÍLIA,389299,1700,,,SQN 215,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-jane-godoy-389299,,2.796.271,17.476
61 Imóveis - Netimóveis,"251,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,522949,21418,,,SQN 107,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-107-522949,1.675,2.950.000,11.752
Consult Imóveis,"117,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,530566,8714,,,SQN 203 Bloco F,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-203-bloco-f-530566,1.050,1.350.000,11.538
61 Imóveis - Netimóveis,"76,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,502689,21418,,,SQN 211,2,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-502689,750,1.250.000,16.447
Granville Negócios Imobiliários,"320,00 m²"," 496,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,529644,23201,,,SQN 314 Bloco H,4,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-314-bloco-h-529644,3.100,3.100.000,9.687
Ferola Empreendimentos Imobiliários,"189,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,531217,11476,,,SQN 106,2,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-106-531217,1.100,2.090.000,11.058
61 Imóveis - Netimóveis,"190,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,423022,21418,,,SQN 110,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-110-423022,2.300,2.395.000,12.605
61 Imóveis - Netimóveis,"68,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,553587,21418,,,SQN 309,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-309-553587,680,845.000,12.426
Macedo Imoveis,"155,00 m²"," 202,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,557739,11670,,,SQN 311 Bloco G,2,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-311-bloco-g-557739,1.600,2.195.000,14.161
IC Corretora de Imóveis,160 a 387 m²,,01/07/2022,ASA NORTE,BRASÍLIA,278318,24347,,,SQN 215 Bloco D,,,,https://www.dfimoveis.com.br/imovel/lancamento-jane-godoy-278318,,Sob Consulta,Sob Consulta
Melhor do Imóvel,"76,00 m²"," 85,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,560131,11991,,,SQN 412,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-412-560131,455,739.900,9.735
Coemi Imóveis ,"62,00 m²"," 105,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,520856,3545,,,SQN 416,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-416-520856,585,720.000,11.612
Julisce Alencar Moraes,"187,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,390869,12971,,,SQN 212 Bloco H,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-212-bloco-h-390869,,1.650.000,8.823
PaulOOctavio,,,01/07/2022,ASA NORTE,BRASÍLIA,390740,1700,,,SQN 208 Bloco J,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-marcio-cotrim-390740,,Sob Consulta,Sob Consulta
Coemi Imóveis ,"90,00 m²"," 144,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,513831,3545,,,SQN 305,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-305-513831,575,1.300.000,14.444
61 Imóveis - Netimóveis,"155,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,550111,21418,,,SQN 311,2,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-311-550111,1.660,2.280.000,14.709
Acontece Imobiliária,"25,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,454226,4996,,,SGAN 912,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-454226,,265.000,10.600
Ariete Ribas Consultoria Imobiliária,"31,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,269068,25093,,,SCRN 710/711 Bloco C,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-710-711-bloco-c-269068,197,180.000,5.806
Ariete Ribas Consultoria Imobiliária,"48,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,430835,25093,,,SHCGN 707 Bloco I,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-707-bloco-i-430835,500,530.000,11.041
Fernanda Vende Sua Casa,"110,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,502300,10261,,,SQN 211 Bloco J,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-j-502300,,1.500.000,13.636
61 Imóveis - Netimóveis,"110,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,485006,21418,,,SQN 309 Bloco P,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-309-bloco-p-485006,1.090,1.500.000,13.636
Ariete Ribas Consultoria Imobiliária,"26,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,508191,25093,,,SGAN 912 Módulo C,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-modulo-c-508191,346,390.000,15.000
61 Imóveis - Netimóveis,"41,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,507103,21418,,,CLN 316,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-316-507103,,310.000,7.560
61 Imóveis - Netimóveis,"167,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,507818,21418,,,SQN 115,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-115-507818,1.372,2.000.000,11.976
Thaís Imobiliaria,"101,00 m²"," 143,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,504613,CJ1704,,,SQN 211 Bloco J,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-j-504613,1.000,1.360.000,13.465
61 Imóveis - Netimóveis,"70,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,515455,21418,,,SQN 211,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-515455,,750.000,10.714
Êxito Premium,"70,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,519989,25140,,,SQN 313,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-313-519989,,850.000,12.142
61 Imóveis - Netimóveis,"100,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,499225,21418,,,SQN 211,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-499225,,1.360.000,13.600
61 Imóveis - Netimóveis,"91,00 m²"," 91,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,518597,21418,,,SQN 305 Bloco F,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-305-bloco-f-518597,571,1.270.000,13.956
Daniele Marsicano,"188,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,507519,11331,,,SQN 109,2,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-109-507519,1.600,1.699.000,9.037
Liberty Imóveis,"26,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,508500,24105,,,SGAN 911 Módulo F,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan911-modulo-f-508500,350,239.000,9.192
Coemi Imóveis ,"102,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,526582,3545,,,SQN 313,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-313-526582,920,1.080.000,10.588
WVA Imóveis,"76,72 m²"," 76,72 m²",01/07/2022,ASA NORTE,BRASÍLIA,570217,21795,,,SQN 415 Bloco C,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-415-bloco-c-570217,594,850.000,11.079
Coemi Imóveis ,"247,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,437954,3545,,,SQN 310,2,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-310-437954,1.600,2.650.000,10.728
Abdala Imóveis,"28,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,59758,16964J,,,SHN Quadra 1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-59758,532,260.000,9.285
Queiroz Invest,"268,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,366984,19811,,,SQN 213 Bloco G,3,4,4,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-213-bloco-g-366984,2.390,3.890.000,14.514
Malbeck Imóveis,"181,11 m²"," 181,11 m²",01/07/2022,ASA NORTE,BRASÍLIA,404093,19379,,,SQN 106,1,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-106-404093,1.300,1.990.000,10.987
Marcilene Rosa,"30,14 m²"," 0,65 m²",01/07/2022,ASA NORTE,BRASÍLIA,571634,7083,,,SGAN 910 Módulo D,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sgan-910-modulo-d-571634,340,289.200,9.595
Aguiar de Vasconcelos ,"46,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,509883,3277,,,SHTN Trecho 2 Lote 3,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-2-lote-3-509883,,650.000,14.130
Renato Nogueira,"70,00 m²"," 70,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,565906,6845,,,SQN 402 Bloco S,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-402-bloco-s-565906,850,745.000,10.642
GM Imóveis,"104,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,463459,23202,,,SHCGN 703 Bloco M,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-shcgn-703-bloco-m-463459,,1.098.000,10.557
Planalto Central Imóveis,"128,15 m²"," 223,80 m²",01/07/2022,ASA NORTE,BRASÍLIA,518073,2267,,,SQN 310,2,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-310-518073,1.032,1.600.000,12.485
SF Siqueira,"60,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,554419,8818,,,SHCGN 706 Bloco R,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-706-bloco-r-554419,,620.000,10.333
Cris Massouh ,"27,00 m²"," 55,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,452486,14582,,,STN,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-stn-452486,410,225.000,8.333
Coemi Imóveis ,"34,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,541758,3545,,,SGAN 914,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-914-541758,380,355.000,10.441
Márcio Sanches,"34,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,530024,21636,,,SHN Quadra 1,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-530024,700,340.000,10.000
Federal House Imóveis,"46,00 m²"," 46,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,503058,26097,,,SHTN Trecho 2 Lote 3,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-2-lote-3-503058,,627.000,13.630
Sérgio Santos,"139,00 m²"," 163,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,564763,28427 ,,,SQN 115 Bloco J,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-115-bloco-j-564763,1.600,1.790.000,12.877
Beiramar Imóveis,"26,00 m²"," 35,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,351209,9486,,,CLN 408,,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-408-351209,294,200.000,7.692
Granville Negócios Imobiliários,"125,00 m²"," 125,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,410097,23201,,,SQN 105,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-105-410097,765,1.100.000,8.800
Granville Negócios Imobiliários,"33,00 m²"," 48,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,391269,23201,,,CLN 311,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-311-391269,332,159.000,4.818
Avanti Imob,"72,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,483994,23022,,,SHN Quadra 1 Bloco F,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-bloco-f-483994,1.600,990.000,13.750
61 Imóveis - Netimóveis,"120,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,538276,21418,,,SQN 315,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-538276,1.080,1.420.000,11.833
Coemi Imóveis ,"388,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,13349,3545,,,SQN 309,3,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-309-13349,3.750,3.500.000,9.020
Casa Moura Imóveis,"48,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,570279,27094,,,SQN 210 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sqn-210-bloco-a-570279,415,594.000,12.375
Silva Santos ,"30,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,554905,7742,,,SGAN 911,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-911-554905,330,260.000,8.666
Victor Viana,"80,92 m²",,01/07/2022,ASA NORTE,BRASÍLIA,336606,17992,,,SHCGN 703 Bloco S,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shcgn-703-bloco-s-336606,,1.172.861,14.494
Abdala Imóveis,"40,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,414626,16964J,,,SHTN,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-414626,800,645.000,16.125
Planalto Central Imóveis,"123,93 m²",,01/07/2022,ASA NORTE,BRASÍLIA,431718,2267,,,SQN 307 Bloco I,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-307-bloco-i-431718,855,1.300.000,10.489
Margarete Correa,"167,00 m²"," 167,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,564013,24787,,,SQN 115,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-115-564013,,2.000.000,11.976
Natália Lírio,"28,81 m²"," 40,81 m²",01/07/2022,ASA NORTE,BRASÍLIA,525456,27592,,,SGAN 906,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-906-525456,266,279.000,9.684
Coemi Imóveis ,"50,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,372924,3545,,,SCRN 708/709,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-708-709-372924,430,600.000,12.000
Acontece Imobiliária,"21,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,552803,4996,,,CLN 412,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-412-552803,,189.000,9.000
Gabriela ,"129,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,563928,17121,,,SQN 114 Bloco C,2,3,3,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-114-bloco-c-563928,,2.169.000,16.813
Koti Imóveis,"48,00 m²"," 60,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,549032,27656,,,SHCGN 707,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-707-549032,517,480.000,10.000
Coemi Imóveis ,"96,00 m²"," 100,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,493086,3545,,,SCLRN 707,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sclrn-707-493086,100,620.000,6.458
Vera e Ernesto corretores,"76,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,558401,10867,,,SQN 416 Bloco D,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-416-bloco-d-558401,482,770.000,10.131
Cássia Oliveira Gestora imobiliária,"158,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,570368,22669,,,SQN 202 Bloco A,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-202-bloco-a-570368,,1.880.000,11.898
Coemi Imóveis ,"83,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,465806,3545,,,SQN 316,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-465806,800,860.000,10.361
Daleprane Inteligência Imobiliária,"100,00 m²"," 100,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,448325,25937,,,SQN 211,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-448325,1.150,1.360.000,13.600
Bordalo PRIME Imobiliária ,"127,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,529547,23761,,,SQN 105,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-105-529547,2.000,1.390.000,10.944
Nero Imóveis,"112,00 m²"," 112,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,550037,26203,,,SQN 105,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-105-550037,940,1.390.000,12.410
Abdala Imóveis,"30,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,319826,16964J,,,SHN Quadra 03 Bloco F,,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-03-bloco-f-319826,600,260.000,8.666
Atempo imobiliária,"172,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,555090,26760,,,SQN 114,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-114-555090,1.400,1.590.000,9.244
Oseki,"40,00 m²"," 45,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,281782,24030,,,SHCGN 703 Bloco S,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shcgn-703-bloco-s-281782,,637.000,15.925
Anderson Moraes ,"74,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,551082,27221,,,SQN 312,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-312-551082,510,679.000,9.175
DDA Diógenes,"45,00 m²"," 57,89 m²",01/07/2022,ASA NORTE,BRASÍLIA,541649,9844,,,SHCGN 716 Bloco M,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-716-bloco-m-541649,650,540.000,12.000
Duprime Imobiliária,"30,00 m²"," 30,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,471720,25.605-J,,,SHN Quadra 4,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-4-471720,,328.000,10.933
Marcos Antonio Patrimonio Imobiliário,"96,94 m²"," 164,77 m²",01/07/2022,ASA NORTE,BRASÍLIA,517989,CJ27154,,,SQN 408 Bloco B,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-408-bloco-b-517989,,850.000,8.768
Cleidson de Queiroz Corretor de Imóveis,"139,36 m²",,01/07/2022,ASA NORTE,BRASÍLIA,267108,13444,,,SQN 209,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-209-267108,,1.590.000,11.409
Top line,"100,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,559268,6955,,,Condomínio Ilhas do Lago,2,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-condominio-ilhas-do-lago-559268,2.063,1.800.000,18.000
Paulo Sousa de Oliveira,"68,12 m²"," 109,98 m²",01/07/2022,ASA NORTE,BRASÍLIA,553357,22528,,,SQN 309 Bloco B,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-309-bloco-b-553357,606,845.000,12.404
JM Morais,"33,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,530675,21650,,,SHTN Trecho 2 Lote 3,2,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-2-lote-3-530675,500,530.000,16.060
Daleprane Inteligência Imobiliária,"110,00 m²"," 122,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,520219,25937,,,SQN 311,2,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-311-520219,1.177,1.380.000,12.545
Brasilis Netimóveis,"49,00 m²"," 49,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,558706,23649,,,SHCGN 707 Bloco N,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-707-bloco-n-558706,,540.000,11.020
Cúpula Empreendimentos Imobiliários,"100,00 m²"," 100,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,312481,17610,,,SQN 312 Bloco J,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-312-bloco-j-312481,600,800.000,8.000
Coemi Imóveis ,"119,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,530814,3545,,,SQN 206,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-206-530814,869,1.350.000,11.344
Tadeu Imóveis,"120,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,423342,23983,,,SCLRN 705,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sclrn-705-423342,,550.000,4.583
Gabriel Alves Matos de Lima Imóveis,"127,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,549037,11431,,,SQN 114 Bloco C,2,3,3,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-114-bloco-c-549037,,2.125.760,16.738
Ferix Neto,"122,63 m²"," 196,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,570194,26546,,,SQN 115 Bloco C,1,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-115-bloco-c-570194,1.103,1.450.000,11.824
Alexi Imobiliária,"98,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,467409,8666,,,SQN 409,,4,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-409-467409,640,870.000,8.877
Macedo Imoveis,"173,00 m²"," 210,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,175143,11670,,,SQN 116 Bloco B,2,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-116-bloco-b-175143,1.400,2.130.000,12.312
Ariete Ribas Consultoria Imobiliária,"48,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,509036,25093,,,SHCGN 707,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-707-509036,500,530.000,11.041
DDA Diógenes,"55,31 m²"," 72,18 m²",01/07/2022,ASA NORTE,BRASÍLIA,563340,9844,,,SQN 316 Bloco H,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-h-563340,,630.000,11.390
 A . Emerick Corretora de Imóveis,"31,00 m²"," 31,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,562137,24539,,,SHTN Trecho 2,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-2-562137,,390.000,12.580
RE/MAX Prime,"74,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,526489,24102,,,SQN 314 Bloco B,1,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-314-bloco-b-526489,580,850.000,11.486
Arthur Sá,"130,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,524755,12203,,,SQN 202,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-202-524755,,1.650.000,12.692
Tatiana Amaro,"96,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,563000,20209,,,SQN 312,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-312-563000,539,730.000,7.604
Granville Negócios Imobiliários,"75,00 m²"," 75,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,527224,23201,,,SQN 211 Bloco E,2,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-e-527224,690,1.250.000,16.666
