anunciante,area_privativa,area_total,atualizacao,bairro,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
Izabel Guerreiro Consultoria Imobiliária,"110,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,493897,13605,,,SQN 213 Bloco F,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-213-bloco-f-493897,858,1.600.000,14.545
Mendes Reis Corretor de Imóveis,"38,92 m²",,01/07/2022,ASA NORTE,BRASÍLIA,559334,20648,,,SCRN 712/713 Bloco B,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-712-713-bloco-b-559334,300,260.000,6.680
Nova Era Imob,"22,69 m²"," 22,69 m²",01/07/2022,ASA NORTE,BRASÍLIA,423808,23018,,,SQN 412,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sqn-412-423808,,150.000,6.610
CBL Imóveis ,"33,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,306973,10075,,,SCLRN 712 Bloco B,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sclrn-712-bloco-b-306973,80,175.000,5.303
Monumental,"66,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,493002,9393,,,SQN 402,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-402-493002,572,696.000,10.545
Multiplic Imóveis,"34,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,501414,20111,,,SHN Quadra 1 Bloco B,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-bloco-b-501414,,320.000,9.411
Cláudio Antônio Imóveis,"53,00 m²"," 53,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,55822,24152,,,SHTN,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-55822,725,660.000,12.452
Márcio Sanches,"157,00 m²"," 157,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,549046,21636,,,SQN 212 Bloco H,1,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-212-bloco-h-549046,1.602,1.650.000,10.509
4IMOB,"39,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,281868,25942,,,SCRN 716,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-716-281868,324,307.000,7.871
Pacheco,"27,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,486113,19587,,,SGAN 911,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-911-486113,340,299.000,11.074
Jorge Augusto Corretor de Imóveis,"29,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,174231,10146,,,CLN 115 Bloco B,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-115-bloco-b-174231,260,170.000,5.862
M.S. Empreendimentos Imobiliários,"58,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,553351,20591,,,SHCGN 716 Bloco M,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-716-bloco-m-553351,,650.000,11.206
Thaís Imobiliaria,"55,00 m²"," 55,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,525499,CJ1704,,,SHCGN 705,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-705-525499,700,630.000,11.454
Simóvel,"47,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,256866,6041,,,SCLRN 712,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sclrn-712-256866,,285.000,6.063
Divino Imóveis,"34,00 m²"," 40,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,564128,24850,,,SCRN 716 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-716-bloco-a-564128,230,215.000,6.323
Conecta Imoveis Assessoria Imobiliária,"105,81 m²",,01/07/2022,ASA NORTE,BRASÍLIA,565946,24792,,,SQN 211 Bloco F,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-f-565946,697,1.230.000,11.624
Conde Imóveis,"132,00 m²"," 205,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,391670,11001,,,SQN 202,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-202-391670,,1.560.000,11.818
CBL Imóveis ,"30,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,445843,10075,,,SGAN 906,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-906-445843,212,250.000,8.333
New Home Assessoria imobiliária,"51,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,563770,28276,,,SHTN,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-563770,1.469,640.000,12.549
1 Milliom Listings,"100,00 m²"," 100,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,514856,27584,,,SQN 211,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-514856,1.178,1.360.000,13.600
Pacheco,"71,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,495219,19587,,,CLN 408 Bloco D,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-cln-408-bloco-d-495219,210,410.000,5.774
New Home Assessoria imobiliária,"28,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,563755,28276,,,SGAN 911 Módulo F,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan911-modulo-f-563755,350,235.000,8.392
Abadia Imóveis ,"68,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,507635,8538,,,SQN 412 Bloco B,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-412-bloco-b-507635,,570.000,8.382
Amorim Corretor de Imóveis,"33,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,325110,28397,,,CLN 212 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-cln-212-bloco-a-325110,,230.000,6.969
Imobiliária do Lago,"125,00 m²"," 140,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,258780,3304,,,SCRN 702/703 Bloco G,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-scrn-702-703-bloco-g-258780,,695.000,5.560
Ever Negócios Imobiliários,"111,00 m²"," 130,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,524566,10816,,,SQN 104,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-104-524566,,1.250.000,11.261
Sartori Netimóveis,"37,00 m²"," 37,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,430735,22384,,,SCRN 712/713 Bloco C,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-712-713-bloco-c-430735,270,228.000,6.162
Aurivan Corretor,"76,00 m²"," 76,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,467966,11246,,,SQN 409,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-409-467966,410,780.000,10.263
TAU Construtora e Imobiliária,"113,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,566990,13252,,,SQN 210,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-210-566990,900,1.590.000,14.070
Imobiliária Zoom,"65,71 m²"," 94,64 m²",01/07/2022,ASA NORTE,BRASÍLIA,567156,20940,,,SQN 402 Bloco D,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-402-bloco-d-567156,465,680.000,10.348
EB Consultor de Imóveis,"32,00 m²"," 32,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,566241,26512,,,CLN 409 Bloco D,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-409-bloco-d-566241,,160.000,5.000
Navarro Imobiliária,"72,00 m²"," 72,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,431042,25230,,,SHN Quadra 1,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-431042,1.450,945.000,13.125
Alessandro Jardim,"120,00 m²"," 120,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,500775,11763,,,SQN 315,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-500775,1.050,1.290.000,10.750
Ariete Ribas Consultoria Imobiliária,"91,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,507469,25093,,,SQN 402,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-402-507469,910,900.000,9.890
Ariete Ribas Consultoria Imobiliária,"100,00 m²"," 100,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,453300,25093,,,SQN 211,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-453300,,1.360.000,13.600
Imóveis do DF,"190,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,523921,15605,,,SQN 110,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-110-523921,2.300,2.400.000,12.631
4IMOB,"32,00 m²"," 36,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,570785,25942,,,SCRN 704/705 Bloco D,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-704-705-bloco-d-570785,454,250.000,7.812
Renata Neves,"90,79 m²",,01/07/2022,ASA NORTE,BRASÍLIA,538391,14360,,,SQN 214 Bloco C,2,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-214-bloco-c-538391,701,1.260.000,13.878
Soltec Engenharia,"29,70 m²"," 65,12 m²",01/07/2022,ASA NORTE,BRASÍLIA,290943,0001,,,SGAN 910 Módulo D,1,,,https://www.dfimoveis.com.br/imovel/kitnet-0-quartos-venda-asa-norte-brasilia-df-sgan-910-modulo-d-290943,,293.582,9.884
PaulOOctavio,"75,13 m²"," 120,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,503709,1700,,,SQN 412 Bloco N,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-412-bloco-n-503709,560,675.000,8.984
Lettieri Imobiliária,"269,78 m²",,01/07/2022,ASA NORTE,BRASÍLIA,344051,9807,,,SQN 310,3,5,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-310-344051,2.200,2.490.000,9.229
Êxito Netimóveis,"37,00 m²"," 37,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,169865,5330,,,SCRN 714/715 Bloco F,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-714-715-bloco-f-169865,299,220.000,5.945
Diogenes Imobiliária,"37,00 m²"," 42,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,498918,20806,,,SCRN 712/713 Bloco B,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-712-713-bloco-b-498918,,255.000,6.891
Thaís Imobiliaria,"102,00 m²"," 102,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,197396,CJ1704,,,SHCGN 703 Bloco S,2,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shcgn-703-bloco-s-197396,500,1.567.010,15.362
Urbanic Imóveis,"30,00 m²"," 30,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,414174,27544,,,SGAN 910 Módulo A,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-910-modulo-a-414174,330,309.000,10.300
Izabel Guerreiro Consultoria Imobiliária,"148,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,554156,13605,,,SQN 310,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-310-554156,1.024,1.650.000,11.148
Queiroz Invest,"131,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,481945,19811,,,SQN 304 Bloco C,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-304-bloco-c-481945,920,1.500.000,11.450
Solo Forte,"87,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,380937,3312,,,SQN 313 Bloco F,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-313-bloco-f-380937,593,720.000,8.275
PaulOOctavio,"82,00 m²"," 82,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,255879,1700,,,CLN 410 Bloco E,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-cln-410-bloco-e-255879,,500.000,6.097
Manu Netimóveis,"37,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,524087,11983,,,CLN 411,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-411-524087,325,264.000,7.135
AC Barbosa Imóveis,"110,80 m²"," 170,94 m²",01/07/2022,ASA NORTE,BRASÍLIA,571140,25811,,,SQN 311 Bloco L,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-311-bloco-l-571140,1.220,1.280.000,11.552
João Marcos Consultoria Imobiliária,"78,00 m²"," 92,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,364652,14451,,,SQN 303 Bloco H,1,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-303-bloco-h-364652,,1.000.000,12.820
CBL Imóveis ,"140,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,307026,10075,,,SCLRN 714,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sclrn-714-307026,350,490.000,3.500
Guerri Investimentos Imobiliários,"32,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,301561,12641,,,SHN Quadra 1,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-301561,,349.000,10.906
Bordalo PRIME Imobiliária ,"70,00 m²"," 82,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,311125,23761,,,SQN 402,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-402-311125,500,740.000,10.571
Jânio Sousa Assessoria Imobiliária,"51,00 m²"," 51,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,562495,13933,,,SHTN,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-562495,1.469,640.000,12.549
Vilma Vaz Corretora,"30,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,162791,7107,,,CLN 409 Bloco C,,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-409-bloco-c-162791,,140.000,4.666
BSB 61 Soluções Imobiliárias,"387,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,374679,10425,,,SQN 215 Bloco D,,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-215-bloco-d-374679,,0, 
Abadia Baião Imóveis,"124,00 m²"," 180,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,564866,9996,,,SQN 108,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-108-564866,,1.150.000,9.274
Elo imóveis,"45,00 m²"," 58,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,493029,3133,,,CLN 103 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-103-bloco-a-493029,,200.000,4.444
Foco,"36,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,450543,26188,,,SHN Quadra 1,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-450543,690,328.000,9.111
Buriti imóveis,"70,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,495665,358,,,SQN 211,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-495665,,750.000,10.714
Imóveis do DF,"51,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,386641,15605,,,SCRN 704/705 Bloco D,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-704-705-bloco-d-386641,500,305.000,5.980
