anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
Gesa Carvalho,"64,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,531768,18716,,,Rua 14,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-rua-14-531768,503,470.000,7.343
Bruno Linhares,"102,00 m²"," 102,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,571661,12128,,,Rua 35,2,,3,3,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-35-571661,,1.050.000,10.294
RE/MAX Virtus,"62,00 m²"," 62,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,470721,23750,,,Quadra 101,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-quadra-101-470721,633,450.000,7.258
Grupo Capital,"49,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,513346,25662,,,Rua 37,1,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-37-513346,360,527.100,10.757
Biensky Imoveis,"96,00 m²"," 96,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,516964,24391,,,Quadra 208,2,,2,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-quadra-208-516964,,810.000,8.437
Tatiana Amaro,"37,88 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,570128,20209,,,Rua 19,1,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-norte-aguas-claras-df-rua-19-570128,443,378.000,9.978
P&S Assessoria Imobiliária Ltda.,"113,00 m²"," 113,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,521159,26614,,,Quadra 204,2,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-204-521159,,850.000,7.522
Illuminar Consultoria Imobiliária,"72,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,569026,26177,,,Rua 25,1,,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-25-569026,687,599.000,8.319
Paulo Barbosa Imóveis,"156,26 m²"," 244,37 m²",03/07/2022,SUL,,ÁGUAS CLARAS,499609,7237,,,Quadra 201,2,,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-201-499609,837,1.295.000,8.287
Scalercio Imobiliária,"154,00 m²"," 154,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,548654,CJ25006,,,Rua 8,1,,4,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-rua-8-548654,1.059,1.190.000,7.727
Adriano de Faria,"105,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,477090,23692,,,Rua 4,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-4-477090,,749.000,7.133
Fran Escritório imobiliário ,"40,00 m²"," 40,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,523156,12751,,,Avenida Jacarandá,1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-avenida-jacaranda-523156,,340.000,8.500
Victor Viana,"162,97 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,245939,17992,,,Avenida Parque Águas Claras,3,,4,4,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-norte-aguas-claras-df-avenida-parque-aguas-claras-245939,,1.630.650,10.005
Imobiliária Silvana Dias,"162,33 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,517406,012725,,,Quadra 105,2,,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-norte-aguas-claras-df-quadra-105-517406,1.344,1.350.000,8.316
Antônio Filho Imobiliária,"66,00 m²"," 66,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,499363,23921,,,Rua 13,1,,3,3,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-13-499363,575,597.000,9.045
